Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,MAX_ChgSet,AVG_ChgSet,Buggy
3.0.0,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JBuffer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/CreateMode.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/test/org/apache/zookeeper/test/UpgradeTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,1.0,1.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,yes
3.0.0,src/java/main/org/apache/jute/compiler/JBoolean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/TestableZooKeeper.java,2.0,1.0,72.0,54.0,36.0,72.0,54.0,36.0,54.0,4.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/RecordWriter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
