Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,7.0,3.0,545.0,378.0,77.85714,509.0,378.0,72.71429,378.0,9.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1.0,1.0,13.0,13.0,13.0,4.0,4.0,4.0,4.0,12.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,2.0,1.0,7.0,5.0,3.5,7.0,5.0,3.5,2.0,25.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,37.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,2.0,1.0,9.0,5.0,4.5,9.0,5.0,4.5,4.0,25.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java,1.0,1.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,17.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,10.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,20.0,3.0,580.0,106.0,29.0,-262.0,53.0,-13.1,53.0,9.35,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,1.0,1.0,5.0,5.0,5.0,-6.0,0.0,-6.0,-6.0,6.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,4.0,2.0,91.0,73.0,22.75,72.0,62.0,18.0,62.0,12.75,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/MessageBoundedPersistenceTest.java,1.0,1.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,27.0,
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,6.0,3.0,152.0,106.0,25.333334,34.0,68.0,5.6666665,68.0,6.1666665,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,1.0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,14.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,37.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,16.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,1.0,1.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,7.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,37.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,3.0,1.0,101.0,47.0,33.666668,73.0,46.0,24.333334,43.0,6.3333335,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,4.0,1.0,185.0,98.0,46.25,160.0,92.0,40.0,8.0,20.75,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,1.0,1.0,25.0,25.0,25.0,3.0,3.0,3.0,3.0,12.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,37.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,2.0,2.0,5.0,3.0,2.5,0.0,1.0,0.0,-1.0,16.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,2.0,1.0,284.0,260.0,142.0,271.0,260.0,135.5,260.0,9.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,1.0,1.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,27.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,4.0,2.0,29.0,15.0,7.25,-7.0,6.0,-1.75,-16.0,4.5,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,2.0,1.0,80.0,79.0,40.0,27.0,79.0,13.5,79.0,11.5,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java,1.0,1.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,5.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,2.0,1.0,666.0,665.0,333.0,665.0,665.0,332.5,665.0,15.0,
